JobTitle,Gender,Age,PerfEval,Education,Dept,Seniority,BasePay,Bonus,Category
Software Engineer,Male,60,1,High School,Administration,3,106045,3079,Tech
Software Engineer,Female,57,2,High School,Engineering,1,104623,3791,Tech
Software Engineer,Male,42,2,College,Management,1,103978,5146,Tech
Software Engineer,Male,25,1,High School,Engineering,4,103181,4566,Tech
Software Engineer,Male,65,4,High School,Engineering,1,102597,5937,Tech
Software Engineer,Male,40,2,High School,Management,2,98281,5646,Tech
Software Engineer,Male,36,2,Masters,Administration,2,94745,5930,Tech
Software Engineer,Male,36,1,Masters,Operations,1,93855,4099,Tech
Software Engineer,Male,45,4,Masters,Operations,2,89811,6471,Tech
Software Engineer,Male,53,4,High School,Operations,1,89225,5751,Tech
Software Engineer,Male,36,2,High School,Administration,4,87848,5166,Tech
Software Engineer,Male,29,1,High School,Sales,1,86650,3518,Tech
Software Engineer,Male,36,1,Masters,Operations,1,86375,3368,Tech
Software Engineer,Male,30,2,College,Administration,4,83264,6251,Tech
Software Engineer,Male,49,3,Masters,Administration,1,82277,5460,Tech
Software Engineer,Male,37,1,High School,Sales,1,81547,3510,Tech
Software Engineer,Male,45,2,High School,Management,1,81515,5001,Tech
Software Engineer,Male,25,1,High School,Administration,4,81057,5259,Tech
Software Engineer,Male,23,1,PhD,Management,2,79462,4673,Tech
Software Engineer,Female,36,1,PhD,Management,1,79177,3661,Tech
Software Engineer,Male,32,2,College,Operations,1,71278,4701,Tech
Software Engineer,Male,22,1,College,Sales,1,67913,4045,Tech
Software Engineer,Male,21,1,High School,Engineering,2,65313,4685,Tech
Software Engineer,Male,26,3,High School,Sales,2,61527,6345,Tech
Software Engineer,Male,18,1,High School,Sales,1,55555,4390,Tech
Warehouse Associate,Female,58,1,Masters,Management,4,134109,4184,Other
Warehouse Associate,Male,53,1,College,Operations,4,126256,3463,Other
Warehouse Associate,Female,42,1,PhD,Operations,5,125574,5688,Other
Warehouse Associate,Female,61,1,Masters,Management,3,120277,4617,Other
Warehouse Associate,Male,54,2,Masters,Engineering,4,118322,5224,Other
Warehouse Associate,Male,64,4,High School,Operations,3,116774,6160,Other
Warehouse Associate,Female,22,1,PhD,Operations,5,114733,6290,Other
Warehouse Associate,Male,65,1,High School,Operations,2,107479,2051,Other
Warehouse Associate,Female,45,1,High School,Administration,5,106963,5084,Other
Warehouse Associate,Female,56,1,College,Administration,4,106722,4044,Other
Warehouse Associate,Male,61,3,High School,Management,3,106233,5792,Other
Warehouse Associate,Female,62,2,PhD,Engineering,2,102106,5195,Other
Warehouse Associate,Male,33,1,College,Engineering,5,100465,5520,Other
Warehouse Associate,Male,49,3,PhD,Operations,4,94927,6274,Other
Warehouse Associate,Female,59,2,College,Management,2,93441,5499,Other
Warehouse Associate,Male,23,1,High School,Administration,4,92516,5866,Other
Warehouse Associate,Male,50,3,Masters,Administration,1,90612,5913,Other
Warehouse Associate,Male,42,2,PhD,Operations,3,90000,4774,Other
Warehouse Associate,Female,47,2,College,Administration,2,87575,4422,Other
Warehouse Associate,Male,46,3,High School,Operations,4,87134,6184,Other
Warehouse Associate,Female,55,2,PhD,Administration,3,85453,5135,Other
Warehouse Associate,Male,37,2,Masters,Administration,1,82343,5232,Other
Warehouse Associate,Male,38,3,High School,Administration,2,82244,6020,Other
Warehouse Associate,Female,44,3,High School,Administration,1,79334,6505,Other
Warehouse Associate,Male,56,3,Masters,Administration,2,79274,4618,Other
Warehouse Associate,Male,35,1,High School,Administration,2,74829,4263,Other
Warehouse Associate,Male,24,1,College,Engineering,3,71371,5220,Other
Warehouse Associate,Female,22,2,Masters,Sales,2,68300,5953,Other
Warehouse Associate,Male,25,1,College,Operations,1,64994,4310,Other
Warehouse Associate,Male,19,2,High School,Sales,2,63928,4998,Other
Warehouse Associate,Male,25,2,Masters,Engineering,1,58130,6327,Other
Warehouse Associate,Male,34,1,Masters,Operations,1,45915,4765,Other
